year,population,births,deaths,tfr
1956,"90,172,000","1,665,278","724,460",2.223
1957,"90,928,000","1,566,713","752,445",2.043
1958,"91,767,000","1,653,469","684,189",2.11
1959,"92,641,000","1,626,088","689,959",2.039
1960,"93,418,501","1,606,041","706,599",2.004
1961,"94,287,000","1,589,372","695,644",1.961
1962,"95,181,000","1,618,616","710,265",1.976
1963,"96,156,000","1,659,521","670,770",2.005
1964,"97,182,000","1,716,761","673,067",2.049
1965,"98,274,961","1,823,697","700,438",2.139
1966,"99,036,000","1,360,974","670,342",1.578
1967,"100,196,000","1,935,647","675,006",2.226
1968,"101,331,000","1,871,839","686,555",2.134
1969,"102,536,000","1,889,815","693,787",2.131
1970,"103,720,060","1,934,239","712,962",2.135
1971,"105,145,000","2,000,973","684,521",2.157
1972,"107,595,000","2,038,682","683,751",2.142
1973,"109,104,000","2,091,983","709,416",2.14
1974,"110,573,000","2,029,989","710,510",2.049
1975,"111,939,643","1,901,440","702,275",1.909
1976,"113,094,000","1,832,617","703,270",1.852
1977,"114,165,000","1,755,100","690,074",1.8
1978,"115,190,000","1,708,643","695,821",1.792
1979,"116,155,000","1,642,580","689,664",1.769
1980,"117,060,396","1,576,889","722,801",1.747
1981,"117,902,000","1,529,455","720,262",1.741
1982,"118,728,000","1,515,392","711,883",1.77
1983,"119,536,000","1,508,687","740,038",1.8
1984,"120,305,000","1,489,780","740,247",1.811
1985,"121,049,000","1,431,577","752,283",1.764
1986,"121,660,000","1,382,946","750,620",1.723
1987,"122,239,000","1,346,658","751,172",1.69
1988,"122,745,000","1,314,006","793,014",1.656
1989,"123,205,000","1,246,802","788,594",1.572
1990,"123,611,000","1,221,585","820,305",1.543
1991,"124,101,000","1,223,245","829,797",1.533
1992,"124,567,000","1,208,989","856,643",1.502
1993,"124,928,000","1,188,282","878,532",1.458
1994,"125,265,000","1,238,328","875,933",1.5
1995,"125,570,000","1,187,064","922,139",1.423
1996,"125,859,000","1,206,555","896,211",1.425
1997,"126,157,000","1,191,665","913,402",1.388
1998,"126,472,000","1,203,147","936,484",1.384
1999,"126,667,000","1,177,669","982,031",1.342
2000,"126,926,000","1,190,547","961,653",1.359
2001,"127,291,000","1,170,662","970,331",1.334
2002,"127,435,000","1,153,855","982,379",1.319
2003,"127,619,000","1,123,610","1,014,951",1.291
2004,"127,687,000","1,110,721","1,028,602",1.289
2005,"127,768,000","1,062,530","1,083,796",1.26
2006,"127,770,000","1,092,674","1,084,451",1.317
2007,"127,771,000","1,089,818","1,108,334",1.337
2008,"127,692,000","1,091,156","1,142,407",1.367
2009,"127,510,000","1,070,036","1,141,865",1.368
2010,"128,057,000","1,071,305","1,197,014",1.387
2011,"127,799,000","1,050,807","1,253,068",1.393
2012,"127,515,000","1,037,232","1,256,359",1.405
2013,"127,298,000","1,029,817","1,268,438",1.427
2014,"127,083,000","1,003,609","1,273,025",1.423
2015,"127,095,000","1,005,721","1,290,510",1.451
2016,"127,042,000","977,242","1,308,158",1.442
2017,"126,919,000","946,146","1,340,567",1.428
2018,"126,749,000","918,397","1,362,482",1.416
2019,"126,555,000","865,239","1,381,093",1.361
2020,"126,146,000","840,832","1,372,648",1.33
2021,"125,502,000","811,604","1,439,809",1.303
2022,"124,947,000","799,728","1,582,033",1.257
2023,"123,990,213","758,631","1,590,503",1.21
