year,population,births,deaths,tfr
1962,"50,878,000","945,842","503,106",2.46
1963,"51,251,000","978,143","514,000",2.56
1964,"51,675,000","1,035,207","488,601",2.7
1965,"52,112,000","1,017,944","516,922",2.66
1966,"52,518,000","999,316","493,562",2.62
1967,"52,900,000","962,197","507,845",2.53
1968,"53,235,000","944,837","530,738",2.49
1969,"53,538,000","949,155","530,348",2.51
1970,"53,821,000","917,496","528,622",2.42
1971,"54,073,000","911,084","515,318",2.41
1972,"54,381,000","893,061","518,020",2.36
1973,"54,751,000","887,953","544,461",2.34
1974,"55,111,000","886,310","532,753",2.33
1975,"55,441,000","841,858","556,019",2.2
1976,"55,718,000","806,358","556,143",2.11
1977,"55,955,000","757,281","547,011",1.97
1978,"56,155,000","720,545","539,685",1.87
1979,"56,318,000","682,742","541,825",1.76
1980,"56,434,000","657,278","559,376",1.68
1981,"56,502,000","628,113","540,764",1.6
1982,"56,544,000","634,678","537,727",1.6
1983,"56,564,000","612,936","563,807",1.54
1984,"56,577,000","597,560","535,661",1.48
1985,"56,593,000","589,233","549,529",1.45
1986,"56,596,000","562,512","545,189",1.37
1987,"56,602,000","560,265","534,993",1.35
1988,"56,629,000","577,856","537,545",1.38
1989,"56,672,000","567,268","531,557",1.35
1990,"56,719,000","580,761","544,397",1.36
1991,"56,759,000","556,175","547,131",1.32
1992,"56,797,000","575,216","545,038",1.32
1993,"56,832,000","552,587","555,043",1.26
1994,"56,843,000","536,665","557,513",1.22
1995,"56,844,000","526,064","555,203",1.19
1996,"56,860,000","536,740","557,756",1.22
1997,"56,890,000","540,048","564,679",1.23
1998,"56,907,000","532,843","576,911",1.21
1999,"56,917,000","537,242","571,356",1.23
2000,"56,942,000","543,039","560,241",1.26
2001,"56,974,000","535,282","548,254",1.25
2002,"57,059,000","538,198","557,393",1.27
2003,"57,313,000","544,063","586,468",1.29
2004,"57,685,000","562,599","546,658",1.34
2005,"57,969,000","554,022","567,304",1.33
2006,"58,144,000","560,010","557,892",1.37
2007,"58,438,000","563,933","570,801",1.39
2008,"58,827,000","576,659","585,126",1.44
2009,"59,095,000","568,857","591,663",1.44
2010,"59,277,000","561,944","587,488",1.44
2011,"59,379,000","546,585","593,402",1.44
2012,"59,540,000","534,186","612,883",1.42
2013,"60,234,000","514,308","600,744",1.39
2014,"60,789,000","502,596","598,364",1.38
2015,"60,796,000","485,780","647,571",1.36
2016,"60,666,000","473,438","615,261",1.36
2017,"60,579,000","458,151","649,061",1.34
2018,"60,484,000","439,747","633,133",1.31
2019,"59,816,673","420,084","634,417",1.27
2020,"59,641,488","404,892","740,317",1.24
2021,"59,236,213","400,249","701,346",1.25
2022,"59,030,133","393,333","713,499",1.24
2023,"58,997,201","379,339","660,600",1.2
