year,population,births,deaths,tfr
1947,"65,842,000","1,028,421","932,628",1.92
1948,"67,365,000","1,049,074","804,839",1.96
1949,"68,080,000","1,106,803","770,852",2.11
1950,"68,374,000","1,116,701","748,329",2.14
1951,"68,882,000","1,106,380","752,697",2.16
1952,"69,171,000","1,105,084","767,639",2.16
1953,"69,564,000","1,095,029","790,654",2.15
1954,"69,934,000","1,109,743","775,291",2.18
1955,"70,307,000","1,113,408","795,938",2.18
1956,"70,711,000","1,137,169","812,111",2.22
1957,"71,166,000","1,165,555","840,195",2.28
1958,"71,637,000","1,175,870","818,418",2.29
1959,"72,180,000","1,243,922","835,402",2.36
1960,"72,664,000","1,261,614","876,721",2.37
1961,"73,352,000","1,313,505","850,300",2.45
1962,"74,049,000","1,316,534","878,814",2.44
1963,"75,019,000","1,355,595","895,070",2.51
1964,"75,273,000","1,357,304","870,319",2.54
1965,"76,061,000","1,325,386","907,882",2.5
1966,"76,734,000","1,318,303","911,984",2.51
1967,"76,954,000","1,272,276","914,417",2.48
1968,"77,249,000","1,214,968","976,521",2.38
1969,"77,918,000","1,142,366","988,092",2.21
1970,"77,772,000","1,047,737","975,664",2.03
1971,"78,355,000","1,013,396","965,623",1.96
1972,"78,717,000","901,657","965,689",1.73
1973,"78,951,000","815,969","962,988",1.56
1974,"78,966,000","805,500","956,573",1.53
1975,"78,862,000","782,310","989,649",1.48
1976,"78,299,000","798,334","966,873",1.51
1977,"78,161,000","805,496","931,155",1.51
1978,"78,066,000","808,619","955,550",1.5
1979,"78,082,000","817,217","944,474",1.5
1980,"78,295,000","865,789","952,371",1.56
1981,"78,399,000","862,100","954,436",1.53
1982,"78,293,000","861,275","943,832",1.51
1983,"78,082,000","827,933","941,032",1.43
1984,"77,797,000","812,292","917,299",1.39
1985,"77,619,000","813,803","929,649",1.37
1986,"77,635,000","848,232","925,426",1.41
1987,"77,718,000","867,969","901,291",1.43
1988,"78,116,000","892,993","900,627",1.46
1989,"78,677,000","880,459","903,441",1.42
1990,"79,753,227","905,675","921,445",1.45
1991,"80,274,564","830,019","911,245",1.33
1992,"80,974,632","809,114","885,443",1.29
1993,"81,338,093","798,447","897,270",1.28
1994,"81,538,603","769,603","884,661",1.24
1995,"81,817,499","765,221","884,588",1.25
1996,"82,012,162","796,013","882,843",1.32
1997,"82,057,379","812,173","860,389",1.37
1998,"82,037,011","785,034","852,382",1.36
1999,"82,163,475","770,744","846,330",1.36
2000,"82,259,540","766,999","838,797",1.38
2001,"82,440,309","734,475","828,541",1.35
2002,"82,536,680","719,250","841,686",1.34
2003,"82,531,671","706,721","853,946",1.34
2004,"82,500,849","705,622","818,271",1.36
2005,"82,437,995","685,795","830,227",1.34
2006,"82,314,906","672,724","821,627",1.33
2007,"82,217,837","684,862","827,155",1.37
2008,"81,802,257","682,514","844,439",1.38
2009,"81,802,257","665,126","854,544",1.36
2010,"81,751,602","677,947","858,768",1.39
2011,"80,233,100","662,685","852,328",1.39
2012,"80,399,300","673,544","869,582",1.41
2013,"80,585,700","682,069","893,825",1.42
2014,"80,925,000","714,927","868,356",1.47
2015,"81,459,000","737,575","925,200",1.5
2016,"82,349,400","792,141","910,902",1.59
2017,"82,665,600","784,901","932,272",1.57
2018,"82,887,000","787,523","954,874",1.57
2019,"83,073,062","778,090","939,520",1.54
2020,"83,122,889","773,144","985,572",1.53
2021,"83,129,285","795,492","1,023,687",1.58
2022,"84,079,811","738,819","1,066,341",1.46
2023,"84,482,267",,"1,020,907",
